キーワード,出現回数
情報,94
整備,62
測量,52
点,48
地理,46
災害,46
基準,46
衛星,43
国土,41
化,40
補正,37
空間,37
位置,37
-,36
地図,34
５,33
変動,33
電子,32
実施,32
次元,31
３,29
的,28
活用,27
地殻,26
６,25
.,25
•,25
高,24
観測,23
防災,22
データ,21
対策,21
",",20
案,19
火山,19
標高,18
提供,18
貢献,18
こと,17
監視,17
GNSS,17
精度,17
図,16
調査,16
5,16
迅速,16
把握,16
効果,16
推進,15
1,14
取組,13
‣,13
p,13
2,13
対応,13
環境,13
測位,13
院,12
社会,12
減,12
災,12
内容,12
空中,12
写真,12
さ,12
基本,11
強化,11
地域,11
浸水,11
サービス,11
),11
デジタル,10
SAR,10
正確,10
水準,10
利用,10
(,10
準,9
利,9
基盤,9
変化,9
効率,9
更新,9
地形,9
時,9
維持,9
航空,9
解析,9
地震,9
成果,9
高度,8
ライブラリー,8
天頂,8
4,8
国家,8
検討,8
7,8
離島,8
向上,8
実現,8
自動,8
各種,8
可能,8
公共,8
推定,8
リスク,8
自然,7
安全,7
我が国,7
3,7
整合,7
座標,7
VLBI,7
頻度,7
機能,7
全国,7
運用,7
地球,7
安定,7
管理,7
活動,7
被災,7
状況,7
県,7
0,6
国民,6
体制,6
国際,6
強靱,6
軌道,6
技術,6
２,6
ド,6
ローン,6
必要,6
ICT,6
施工,6
局,6
開発,6
日本,6
避難,6
レーザ,6
分類,6
・,6
活,6
市,6
激甚,5
寄与,5
活火山,5
シミュレーション,5
運転,5
533,5
取得,5
方向,5
量,5
電波,5
ほか,5
109,5
基礎,5
復旧,5
用,5
性,5
１,5
三角,5
断層,5
関係,4
頻発,4
経済,4
民間,4
体系,4
づくり,4
国内外,4
全,4
解像度,4
加速,4
AI,4
抽出,4
撮影,4
64,4
上,4
網,4
GPS,4
国内,4
目的,4
設置,4
年,4
重要,4
不可欠,4
地表,4
促進,4
速やか,4
よう,4
ALOS,4
マグマ,4
住民,4
:,4
発生,4
場合,4
事前,4
精緻,4
復興,4
収集,4
閲覧,4
４,3
７,3
生命,3
保障,3
充実,3
発展,3
形成,3
以下,3
重点的,3
機,3
改定,3
6,3
か年,3
8,3
ベース・レジストリ,3
独自,3
作成,3
画像,3
箇所,3
確保,3
建物,3
支援,3
詳細,3
DX,3
号機,3
信号,3
スマート,3
農業,3
物流,3
評価,3
仕組み,3
導入,3
プレート,3
運動,3
海外,3
継続,3
機器,3
全て,3
手法,3
いち,3
号,3
検出,3
の,3
リアルタイム,3
機関,3
REGARD,3
周辺,3
有効,3
計画,3
装置,3
意識,3
人口,3
集中,3
航空機,3
道路,3
指定,3
カメラ,3
小型,3
アンテナ,3
耐,3
9,3
中央,3
施設,3
A,3
B,3
規模,3
測地,3
連続,3
川,3
備え,3
．,2
億,2
対,2
前年度,2
比,2
99,2
暮らし,2
G,2
建設,2
地,2
全体,2
生成,2
175,2
現実,2
ツイン,2
車,2
運営,2
今後,2
195,2
予定,2
変更,2
改修,2
44,2
近年,2
登録,2
性能,2
21,2
水平,2
決定,2
10,2
分,2
どこ,2
容易,2
空,2
天体,2
系,2
構築,2
自転,2
算出,2
145,2
面,2
影響,2
62,2
事業,2
行政,2
財産,2
94,2
ソフト,2
局所,2
者,2
研究,2
予測,2
噴火,2
想定,2
照射,2
知見,2
早期,2
上昇,2
システム,2
機動,2
表示,2
他,2
的確,2
交通,2
規制,2
緊急,2
被害,2
時間,2
プログラム,2
